start_x1,start_x2,learn_rate,found_min_x1,found_min_x2
-6,-8,0.01,5.44,-2.72
-6,-8,0.02,5.44,-2.72
-6,-8,0.1,5.44,-2.72
-6,-8,0.5,5.44,-2.72
-6,-8,1,-6.0,-8.0
-10,8,9e-08,-10.0,8.0
-10,8,0.09,5.44,-2.72
-10,8,0.01,5.44,-2.72
-10,8,0.2,5.44,-2.72
-10,8,0.5,5.44,-2.72
-10,8,0.6,5.44,-2.72
10,0,1e-12,10.0,-0.0
10,0,5e-07,10.0,-0.0
10,0,0.02,5.44,-2.72
10,0,0.6,5.44,-2.72
10,0,3,nan,nan
400,-100,6e-06,395.29,-98.84
400,-100,0.003,6.4,-2.96
400,-100,0.02,5.44,-2.72
400,-100,0.07,5.44,-2.72
400,-100,0.999,58.73,-15.86
-200.2,-10.32,0.0002,-132.39,-7.81
-200.2,-10.32,0.001,-22.34,-3.75
-200.2,-10.32,0.0786,5.44,-2.72
-200.2,-10.32,0.849,5.44,-2.72
-200.2,-10.32,1.27,-6.820577912925874e+189,-2.5213468917717604e+188
